nohup: ignoring input
2025-07-04 07:44:27,326 INFO     Starting server at tcp:port=8000:interface=127.0.0.1
2025-07-04 07:44:27,326 INFO     HTTP/2 support not enabled (install the http2 and tls Twisted extras)
2025-07-04 07:44:27,326 INFO     Configuring endpoint tcp:port=8000:interface=127.0.0.1
2025-07-04 07:44:27,327 INFO     Listening on TCP address 127.0.0.1:8000
[add_player][after append] For game 484: [{'user': 217, 'card': [56]}]
[set_selected_players] For game 484: [{'user': 217, 'card': [56]}]
[get_selected_players] For game 484: [{'user': 217, 'card': [56]}]
127.0.0.1:53976 - - [04/Jul/2025:07:44:53] "GET /api/bingo/api/get-bingo-card/?cardId=46" 200 133
User 217 joined bingo page for game 484
[get_selected_players] For game 484: [{'user': 217, 'card': [56]}]
Sending cards: [{'id': 56, 'numbers': [[14, 24, 43, 59, 74], [5, 23, 42, 48, 62], [9, 19, 0, 53, 68], [3, 20, 33, 51, 63], [8, 17, 32, 58, 71]]}]
127.0.0.1:53988 - - [04/Jul/2025:07:44:53] "GET /api/bingo/api/get-game-stats/484/" 200 183
127.0.0.1:53994 - - [04/Jul/2025:07:44:53] "GET /api/bingo/api/get-game-stats/484/" 200 182
127.0.0.1:54002 - - [04/Jul/2025:07:44:53] "GET /api/bingo/api/get-bingo-card/?cardId=76" 200 131
[get_selected_players] For game 484: [{'user': 217, 'card': [56]}]
[remove_player][before] For game 484: [{'user': 217, 'card': [56]}]
[remove_player][after remove] For game 484: [{'user': 217, 'card': [56]}]
[set_selected_players] For game 484: [{'user': 217, 'card': [56]}]
[get_selected_players] For game 484: [{'user': 217, 'card': [56]}]
User None left bingo page for game 484
127.0.0.1:60816 - - [04/Jul/2025:07:44:54] "GET /api/bingo/api/get-bingo-card/?cardId=66" 200 131
127.0.0.1:34200 - - [04/Jul/2025:07:44:54] "WSDISCONNECT /ws/game-socket/484/" - -
127.0.0.1:60826 - - [04/Jul/2025:07:44:54] "GET /api/bingo/api/get-game-data/" 200 26
127.0.0.1:60828 - - [04/Jul/2025:07:44:54] "GET /api/bingo/api/get-game-data/" 200 26
127.0.0.1:60842 - - [04/Jul/2025:07:44:55] "GET /api/bingo/api/get-game-data/" 200 26
127.0.0.1:60852 - - [04/Jul/2025:07:44:55] "GET /api/bingo/api/get-game-data/" 200 26
127.0.0.1:60856 - - [04/Jul/2025:07:44:55] "GET /api/bingo/api/get-game-data/" 200 26
127.0.0.1:60866 - - [04/Jul/2025:07:44:56] "GET /api/bingo/api/get-game-data/" 200 26
127.0.0.1:60882 - - [04/Jul/2025:07:44:56] "GET /api/bingo/api/start-game/10/" 200 83
127.0.0.1:60890 - - [04/Jul/2025:07:44:56] "GET /api/bingo/api/get-game-stats/484/" 200 182
127.0.0.1:60898 - - [04/Jul/2025:07:44:56] "GET /api/bingo/api/get-game-data/" 200 26
127.0.0.1:60900 - - [04/Jul/2025:07:44:56] "GET /api/bingo/api/get-game-data/" 200 26
[get_selected_players] For game 484: [{'user': 217, 'card': [56]}]
[add_player][before] For game 484: [{'user': 217, 'card': [56]}]
[add_player][after append] For game 484: [{'user': 217, 'card': [56]}, {'user': 329, 'card': [66]}]
[set_selected_players] For game 484: [{'user': 217, 'card': [56]}, {'user': 329, 'card': [66]}]
[get_selected_players] For game 484: [{'user': 217, 'card': [56]}, {'user': 329, 'card': [66]}]
User 329 joined bingo page for game 484
[get_selected_players] For game 484: [{'user': 217, 'card': [56]}, {'user': 329, 'card': [66]}]
Sending cards: [{'id': 66, 'numbers': [[4, 27, 31, 47, 63], [14, 30, 44, 59, 69], [1, 29, 0, 46, 70], [15, 23, 33, 57, 72], [7, 19, 42, 56, 71]]}]
127.0.0.1:59704 - - [04/Jul/2025:07:45:04] "POST /api/auth/verify-init-data/" 200 605
127.0.0.1:59736 - - [04/Jul/2025:07:45:04] "POST /api/auth/verify-init-data/" 200 605
127.0.0.1:59722 - - [04/Jul/2025:07:45:04] "GET /api/bingo/api/get-game-stats/484/" 200 182
127.0.0.1:59710 - - [04/Jul/2025:07:45:04] "GET /api/bingo/api/get-game-stats/484/" 200 182
127.0.0.1:59744 - - [04/Jul/2025:07:45:05] "GET /api/bingo/api/get-game-stats/484/" 200 182
127.0.0.1:59764 - - [04/Jul/2025:07:45:05] "POST /api/auth/verify-init-data/" 200 605
127.0.0.1:59748 - - [04/Jul/2025:07:45:05] "POST /api/auth/verify-init-data/" 200 605
127.0.0.1:59740 - - [04/Jul/2025:07:45:05] "GET /api/bingo/api/get-game-stats/484/" 200 182
127.0.0.1:59766 - - [04/Jul/2025:07:45:06] "GET /api/bingo/api/get-game-stats/484/" 200 182
127.0.0.1:59790 - - [04/Jul/2025:07:45:06] "POST /api/auth/verify-init-data/" 200 605
127.0.0.1:59794 - - [04/Jul/2025:07:45:06] "POST /api/auth/verify-init-data/" 200 605
127.0.0.1:59774 - - [04/Jul/2025:07:45:06] "GET /api/bingo/api/get-game-stats/484/" 200 182
127.0.0.1:59832 - - [04/Jul/2025:07:45:06] "POST /api/auth/verify-init-data/" 200 605
127.0.0.1:59810 - - [04/Jul/2025:07:45:06] "GET /api/bingo/api/get-game-stats/484/" 200 182
127.0.0.1:59814 - - [04/Jul/2025:07:45:06] "GET /api/bingo/api/get-game-stats/484/" 200 182
127.0.0.1:59838 - - [04/Jul/2025:07:45:06] "POST /api/auth/verify-init-data/" 200 605
127.0.0.1:59818 - - [04/Jul/2025:07:45:06] "POST /api/auth/verify-init-data/" 200 605
127.0.0.1:59850 - - [04/Jul/2025:07:45:06] "GET /api/bingo/api/get-game-stats/484/" 200 182
127.0.0.1:59876 - - [04/Jul/2025:07:45:06] "POST /api/auth/verify-init-data/" 200 605
127.0.0.1:59866 - - [04/Jul/2025:07:45:06] "GET /api/bingo/api/get-game-stats/484/" 200 182
127.0.0.1:59892 - - [04/Jul/2025:07:45:06] "GET /api/bingo/api/get-game-stats/484/" 200 182
127.0.0.1:59904 - - [04/Jul/2025:07:45:06] "POST /api/auth/verify-init-data/" 200 605
127.0.0.1:59916 - - [04/Jul/2025:07:45:06] "GET /api/bingo/api/get-game-stats/484/" 200 182
127.0.0.1:59890 - - [04/Jul/2025:07:45:06] "GET /api/bingo/api/get-game-stats/484/" 200 182
127.0.0.1:59906 - - [04/Jul/2025:07:45:06] "POST /api/auth/verify-init-data/" 200 605
127.0.0.1:59914 - - [04/Jul/2025:07:45:06] "GET /api/bingo/api/get-game-stats/484/" 200 182
127.0.0.1:59932 - - [04/Jul/2025:07:45:06] "POST /api/auth/verify-init-data/" 200 605
127.0.0.1:59934 - - [04/Jul/2025:07:45:06] "POST /api/auth/verify-init-data/" 200 605
127.0.0.1:59958 - - [04/Jul/2025:07:45:06] "GET /api/bingo/api/get-game-stats/484/" 200 182
127.0.0.1:59946 - - [04/Jul/2025:07:45:06] "GET /api/bingo/api/get-game-stats/484/" 200 182
127.0.0.1:59954 - - [04/Jul/2025:07:45:06] "POST /api/auth/verify-init-data/" 200 605
127.0.0.1:59970 - - [04/Jul/2025:07:45:06] "POST /api/auth/verify-init-data/" 200 605
127.0.0.1:59984 - - [04/Jul/2025:07:45:07] "GET /api/bingo/api/get-game-stats/484/" 200 182
127.0.0.1:60038 - - [04/Jul/2025:07:45:07] "POST /api/auth/verify-init-data/" 200 605
127.0.0.1:60000 - - [04/Jul/2025:07:45:07] "GET /api/bingo/api/get-game-stats/484/" 200 182
127.0.0.1:60024 - - [04/Jul/2025:07:45:07] "POST /api/auth/verify-init-data/" 200 605
127.0.0.1:60062 - - [04/Jul/2025:07:45:07] "POST /api/auth/verify-init-data/" 200 605
127.0.0.1:60016 - - [04/Jul/2025:07:45:07] "POST /api/auth/verify-init-data/" 200 605
127.0.0.1:60042 - - [04/Jul/2025:07:45:07] "POST /api/auth/verify-init-data/" 200 605
127.0.0.1:60026 - - [04/Jul/2025:07:45:07] "GET /api/bingo/api/get-game-stats/484/" 200 182
127.0.0.1:60036 - - [04/Jul/2025:07:45:07] "POST /api/auth/verify-init-data/" 200 605
127.0.0.1:60046 - - [04/Jul/2025:07:45:07] "GET /api/bingo/api/get-game-stats/484/" 200 182
127.0.0.1:60072 - - [04/Jul/2025:07:45:07] "GET /api/bingo/api/get-game-stats/484/" 200 182
127.0.0.1:60066 - - [04/Jul/2025:07:45:07] "GET /api/bingo/api/get-game-stats/484/" 200 182
127.0.0.1:60086 - - [04/Jul/2025:07:45:07] "POST /api/auth/verify-init-data/" 200 605
127.0.0.1:60108 - - [04/Jul/2025:07:45:07] "GET /api/bingo/api/get-game-stats/484/" 200 182
